8300
# tracer: nop
#
# entries-in-buffer/entries-written: 13548/13548   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
          <idle>-0     [000] dNs. 577874.941540: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 577874.956554: sched_wakeup: comm=rcuos/4 pid=12 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 577874.956556: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=002
          <idle>-0     [000] dNs. 577874.959547: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577874.959549: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 577875.125657: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577875.617943: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577875.617949: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 577875.626962: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=003
          <idle>-0     [000] dNs. 577875.844082: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577875.915125: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577875.915128: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
           <...>-8383  [000] dN.. 577875.917004: sched_wakeup: comm=migration/0 pid=25 prio=0 success=1 target_cpu=000
           <...>-8378  [000] .... 577875.919453: sched_process_exit: comm=sh pid=8378 prio=120
           <...>-8387  [000] dNs. 577875.921132: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-8387  [000] d... 577875.922103: sched_wakeup_new: comm=sh pid=8390 prio=120 success=1 target_cpu=007
           <...>-8387  [000] d.s. 577875.922129: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
           <...>-8387  [000] d... 577875.922278: sched_wakeup_new: comm=sh pid=8391 prio=120 success=1 target_cpu=001
           <...>-8387  [000] d... 577875.922418: sched_wakeup_new: comm=sh pid=8392 prio=120 success=1 target_cpu=007
           <...>-8387  [000] .... 577875.924634: sched_process_exit: comm=sh pid=8387 prio=120
         rcuos/4-12    [000] d... 577875.933160: sched_wakeup: comm=rcuos/5 pid=13 prio=120 success=1 target_cpu=003
         rcuos/2-10    [000] d... 577875.945161: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577875.951147: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577875.951149: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577876.116348: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577876.122269: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577876.122271: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=003
         rcuos/2-10    [000] d... 577876.128268: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577876.617353: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNs. 577876.622551: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577876.622556: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577876.628573: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577876.639501: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNs. 577876.644562: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577876.644564: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577876.662575: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577876.662578: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNh. 577876.732724: sched_wakeup: comm=tmut pid=8330 prio=120 success=1 target_cpu=000
           <...>-8330  [000] .... 577876.732731: sys_nanosleep -> 0x0
           <...>-8330  [000] d... 577876.732745: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-8330  [000] .... 577876.732749: sys_futex(uaddr: 6010c0, op: 81, val: 1, utime: 0, uaddr2: 0, val3: 7f7901f44700)
           <...>-8330  [000] d... 577876.732753: sched_wakeup: comm=tmut pid=8334 prio=120 success=1 target_cpu=000
           <...>-8330  [000] .... 577876.732754: sys_futex -> 0x1
           <...>-8330  [000] .... 577876.732771: sched_process_exit: comm=tmut pid=8330 prio=120
           <...>-8334  [000] .... 577876.732788: sys_futex -> 0x0
           <...>-8334  [000] .... 577876.732796: sys_nanosleep(rqtp: 7f7901742d50, rmtp: 7f7901742d50)
     kworker/0:1-1492  [000] d... 577876.732804: sched_wakeup: comm=tmux pid=2397 prio=120 success=1 target_cpu=003
          <idle>-0     [000] dN.. 577876.732815: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=000
         rcuos/0-8     [000] d... 577876.732822: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNh. 577876.770639: sched_wakeup: comm=watchdog/0 pid=26 prio=0 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577876.876703: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577876.876707: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
           <...>-8399  [000] dN.. 577876.918336: sched_wakeup: comm=migration/0 pid=25 prio=0 success=1 target_cpu=000
           <...>-8402  [000] dN.. 577876.918630: sched_wakeup: comm=migration/0 pid=25 prio=0 success=1 target_cpu=000
       rcu_sched-7     [000] d... 577876.918741: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=002
           <...>-8396  [000] dNs. 577876.920732: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-8396  [000] dNh. 577876.920749: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577876.920754: sched_wakeup: comm=kworker/4:1 pid=7729 prio=120 success=1 target_cpu=004
           <...>-8396  [000] .... 577876.920995: sched_process_exit: comm=sh pid=8396 prio=120
          <idle>-0     [000] dNs. 577876.921731: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=000
       rcu_sched-7     [000] d... 577876.922742: sched_wakeup: comm=rcuos/4 pid=12 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 577876.922743: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=002
       rcu_sched-7     [000] d... 577876.922746: sched_wakeup: comm=rcuos/6 pid=14 prio=120 success=1 target_cpu=000
         rcuos/6-14    [000] d... 577876.922754: sched_wakeup: comm=rcuos/7 pid=15 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577876.925731: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577876.928734: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=000
