8300
# tracer: nop
#
# entries-in-buffer/entries-written: 13548/13548   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-9241  [000] .... 577954.023631: sched_process_exit: comm=sh pid=9241 prio=120
           <...>-9242  [000] dNs. 577954.027197: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-9242  [000] .... 577954.027266: sched_process_exit: comm=sh pid=9242 prio=120
       rcu_sched-7     [000] d... 577954.028209: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=002
          <idle>-0     [000] dNs. 577954.031196: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=000
       rcu_sched-7     [000] d... 577954.031207: sched_wakeup: comm=rcuos/6 pid=14 prio=120 success=1 target_cpu=002
       rcu_sched-7     [000] d... 577954.031208: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 577954.031209: sched_wakeup: comm=rcuos/4 pid=12 prio=120 success=1 target_cpu=004
          <idle>-0     [000] dNs. 577954.034198: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=000
       rcu_sched-7     [000] d... 577954.034205: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=002
          <idle>-0     [000] dNs. 577954.037199: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577954.037201: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 577954.052219: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 577954.052220: sched_wakeup: comm=rcuos/4 pid=12 prio=120 success=1 target_cpu=004
          <idle>-0     [000] dNs. 577954.283347: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577954.283350: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577954.787651: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577954.787657: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577954.974784: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=004
         rcuos/2-10    [000] d... 577954.974786: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNs. 577954.980768: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577954.980770: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
           <...>-9252  [000] dNs. 577955.018796: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-9252  [000] dNh. 577955.018815: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-9252  [000] .... 577955.019046: sched_process_exit: comm=cut pid=9252 prio=120
           <...>-9252  [000] d... 577955.019066: sched_wakeup: comm=sh pid=9248 prio=120 success=1 target_cpu=001
           <...>-9254  [000] d.s. 577955.019796: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
           <...>-9254  [000] dN.. 577955.019995: sched_wakeup: comm=migration/0 pid=25 prio=0 success=1 target_cpu=000
           <...>-9250  [000] .... 577955.022469: sched_process_exit: comm=sh pid=9250 prio=120
           <...>-9256  [000] .... 577955.024595: sched_process_exit: comm=sh pid=9256 prio=120
           <...>-9262  [000] dN.. 577955.025514: sched_wakeup: comm=migration/0 pid=25 prio=0 success=1 target_cpu=000
         rcuos/6-14    [000] d... 577955.031813: sched_wakeup: comm=rcuos/7 pid=15 prio=120 success=1 target_cpu=004
          <idle>-0     [000] dNs. 577955.040807: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577955.040809: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577955.058814: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577955.058817: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577955.284952: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577955.284954: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577955.581129: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577955.581133: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577955.792274: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNs. 577955.892317: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
         rcuos/2-10    [000] d... 577956.016470: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dN.. 577956.016819: sched_wakeup: comm=rcuos/6 pid=14 prio=120 success=1 target_cpu=000
           <...>-9266  [000] d... 577956.019357: sched_wakeup: comm=uname pid=9267 prio=120 success=1 target_cpu=004
           <...>-9266  [000] dNs. 577956.019396: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-9266  [000] d.s. 577956.020399: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
           <...>-9266  [000] d... 577956.020894: sched_wakeup_new: comm=sh pid=9269 prio=120 success=1 target_cpu=007
           <...>-9266  [000] d... 577956.021056: sched_wakeup_new: comm=sh pid=9270 prio=120 success=1 target_cpu=001
           <...>-9266  [000] d... 577956.021204: sched_wakeup_new: comm=sh pid=9272 prio=120 success=1 target_cpu=007
           <...>-9266  [000] .... 577956.023699: sched_process_exit: comm=sh pid=9266 prio=120
          <idle>-0     [000] dN.. 577956.025680: sched_wakeup: comm=sh pid=9273 prio=120 success=1 target_cpu=000
           <...>-9273  [000] .... 577956.025719: sched_process_exit: comm=sh pid=9273 prio=120
         rcuos/2-10    [000] d... 577956.031425: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNs. 577956.037407: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577956.037410: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577956.043428: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=005
         rcuos/4-12    [000] d... 577956.049433: sched_wakeup: comm=rcuos/5 pid=13 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNs. 577956.055416: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577956.055418: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/4-12    [000] d... 577956.061435: sched_wakeup: comm=rcuos/5 pid=13 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNs. 577956.073426: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577956.073428: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577956.293576: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=005
         rcuos/2-10    [000] d... 577956.703765: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNs. 577956.708809: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577956.708815: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577956.744830: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577956.744832: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577956.777850: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577956.777852: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577956.789878: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=005
         rcuos/2-10    [000] d... 577956.805093: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNs. 577956.810870: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577956.810872: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577956.810887: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=005
         rcuos/2-10    [000] d... 577956.810889: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577956.816894: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNh. 577956.818877: sched_wakeup: comm=watchdog/0 pid=26 prio=0 success=1 target_cpu=000
         rcuos/2-10    [000] d... 577956.841629: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577956.846913: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=005
         rcuos/2-10    [000] d... 577956.846915: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=003
         rcuos/2-10    [000] d... 577956.852912: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=005
         rcuos/2-10    [000] d... 577956.899084: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNs. 577956.904928: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577956.904931: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 577956.916944: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 577956.960970: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=001
           <...>-9282  [000] dNs. 577957.021002: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-9282  [000] d... 577957.021258: sched_wakeup: comm=sh pid=9281 prio=120 success=1 target_cpu=002
           <...>-9282  [000] d... 577957.021801: sched_wakeup_new: comm=sh pid=9285 prio=120 success=1 target_cpu=007
           <...>-9282  [000] d... 577957.021966: sched_wakeup_new: comm=sh pid=9286 prio=120 success=1 target_cpu=001
           <...>-9282  [000] d... 577957.022128: sched_wakeup_new: comm=sh pid=9288 prio=120 success=1 target_cpu=007
          <idle>-0     [000] dNs. 577957.023001: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=000
       rcu_sched-7     [000] d... 577957.023010: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=005
           <...>-9290  [000] dN.. 577957.025332: sched_wakeup: comm=migration/0 pid=25 prio=0 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577957.026001: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=000
           <...>-9287  [000] .... 577957.026532: sched_process_exit: comm=sh pid=9287 prio=120
       rcu_sched-7     [000] d... 577957.027015: sched_wakeup: comm=rcuos/4 pid=12 prio=120 success=1 target_cpu=002
       rcu_sched-7     [000] d... 577957.027017: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=004
       rcu_sched-7     [000] d... 577957.027020: sched_wakeup: comm=rcuos/6 pid=14 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNs. 577957.030005: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577957.030008: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577957.030014: sched_wakeup: comm=ksoftirqd/0 pid=3 prio=120 success=1 target_cpu=000
         rcuos/0-8     [000] d... 577957.039032: sched_wakeup: comm=rcuos/1 pid=9 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 577957.045024: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577957.048015: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577957.048017: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/0-8     [000] d... 577957.051036: sched_wakeup: comm=rcuos/1 pid=9 prio=120 success=1 target_cpu=002
       rcu_sched-7     [000] d... 577957.063032: sched_wakeup: comm=rcuos/4 pid=12 prio=120 success=1 target_cpu=003
       rcu_sched-7     [000] d... 577957.063034: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577957.066025: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577957.066027: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 577957.208119: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=003
          <idle>-0     [000] dNh. 577957.216575: sched_wakeup: comm=gmain pid=20788 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577957.286157: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577957.286160: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNh. 577957.523707: sched_wakeup: comm=goa-daemon pid=1835 prio=120 success=1 target_cpu=000
      goa-daemon-1835  [000] .... 577957.523733: sys_futex(uaddr: 17c1850, op: 1, val: 1, utime: 0, uaddr2: 31f038584b027a, val3: 17c1d10)
      goa-daemon-1835  [000] d... 577957.523740: sched_wakeup: comm=pool pid=1839 prio=120 success=1 target_cpu=002
      goa-daemon-1835  [000] .... 577957.523741: sys_futex -> 0x1
       rcu_sched-7     [000] d... 577957.529315: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577957.532305: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577957.532308: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 577957.796475: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=001
           <...>-9298  [000] dNs. 577958.021604: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-9298  [000] dNs. 577958.021611: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
           <...>-9298  [000] d... 577958.023147: sched_wakeup_new: comm=sh pid=9301 prio=120 success=1 target_cpu=007
           <...>-9298  [000] d... 577958.023321: sched_wakeup_new: comm=sh pid=9302 prio=120 success=1 target_cpu=001
           <...>-9298  [000] d... 577958.023456: sched_wakeup_new: comm=sh pid=9304 prio=120 success=1 target_cpu=002
           <...>-9306  [000] dN.. 577958.026624: sched_wakeup: comm=migration/0 pid=25 prio=0 success=1 target_cpu=000
           <...>-9306  [000] .... 577958.031336: sched_process_exit: comm=sh pid=9306 prio=120
       rcu_sched-7     [000] d... 577958.043627: sched_wakeup: comm=rcuos/6 pid=14 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 577958.043628: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=002
       rcu_sched-7     [000] d... 577958.043630: sched_wakeup: comm=rcuos/4 pid=12 prio=120 success=1 target_cpu=003
          <idle>-0     [000] dNs. 577958.046618: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577958.046620: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 577958.061635: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577958.064626: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577958.064628: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 577958.230736: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577958.288761: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577958.288764: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 577958.792078: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=001
           <...>-9314  [000] dNs. 577959.023208: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-9314  [000] d... 577959.024758: sched_wakeup_new: comm=sh pid=9317 prio=120 success=1 target_cpu=007
           <...>-9314  [000] d... 577959.024935: sched_wakeup_new: comm=sh pid=9318 prio=120 success=1 target_cpu=001
           <...>-9314  [000] d... 577959.025081: sched_wakeup_new: comm=sh pid=9320 prio=120 success=1 target_cpu=007
           <...>-9318  [000] d... 577959.027048: sched_wakeup: comm=cut pid=9320 prio=120 success=1 target_cpu=001
           <...>-9318  [000] .... 577959.027235: sched_process_exit: comm=cut pid=9318 prio=120
           <...>-9318  [000] d... 577959.027253: sched_wakeup: comm=sh pid=9314 prio=120 success=1 target_cpu=002
           <...>-9321  [000] d.s. 577959.029212: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=002
           <...>-9321  [000] .... 577959.029658: sched_process_exit: comm=sh pid=9321 prio=120
          <idle>-0     [000] dNs. 577959.037214: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577959.037217: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/6-14    [000] d... 577959.049240: sched_wakeup: comm=rcuos/7 pid=15 prio=120 success=1 target_cpu=003
          <idle>-0     [000] dNs. 577959.055224: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577959.055226: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577959.073234: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577959.073236: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577959.794670: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577959.794675: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577959.894730: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dN.. 577960.021731: sched_wakeup: comm=rcuos/6 pid=14 prio=120 success=1 target_cpu=000
           <...>-9334  [000] dN.. 577960.026129: sched_wakeup: comm=migration/0 pid=25 prio=0 success=1 target_cpu=000
       rcu_sched-7     [000] d... 577960.027822: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=004
           <...>-9330  [000] .... 577960.028572: sched_process_exit: comm=sh pid=9330 prio=120
          <idle>-0     [000] dNs. 577960.030815: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577960.030819: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
     kworker/0:1-1492  [000] d... 577960.030832: sched_wakeup: comm=kworker/3:2 pid=7744 prio=120 success=1 target_cpu=003
           <...>-9342  [000] dN.. 577960.031725: sched_wakeup: comm=migration/0 pid=25 prio=0 success=1 target_cpu=000
         rcuos/6-14    [000] d... 577960.033835: sched_wakeup: comm=rcuos/7 pid=15 prio=120 success=1 target_cpu=001
         rcuos/6-14    [000] d... 577960.039828: sched_wakeup: comm=rcuos/7 pid=15 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 577960.060841: sched_wakeup: comm=rcuos/4 pid=12 prio=120 success=1 target_cpu=003
       rcu_sched-7     [000] d... 577960.060843: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=004
          <idle>-0     [000] dNs. 577960.063834: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577960.063836: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 577960.301984: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577960.793271: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577960.793277: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNh. 577960.821288: sched_wakeup: comm=watchdog/0 pid=26 prio=0 success=1 target_cpu=000
           <...>-9346  [000] dNs. 577961.025414: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-9346  [000] d... 577961.027160: sched_wakeup_new: comm=sh pid=9349 prio=120 success=1 target_cpu=007
           <...>-9346  [000] d... 577961.027318: sched_wakeup_new: comm=sh pid=9350 prio=120 success=1 target_cpu=001
           <...>-9346  [000] d... 577961.027471: sched_wakeup_new: comm=sh pid=9352 prio=120 success=1 target_cpu=007
         rcuos/2-10    [000] d... 577961.028437: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=002
           <...>-9353  [000] dNs. 577961.031420: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577961.031457: sched_wakeup: comm=kworker/1:2 pid=8695 prio=120 success=1 target_cpu=001
           <...>-9353  [000] .... 577961.031813: sched_process_exit: comm=sh pid=9353 prio=120
           <...>-9359  [000] .... 577961.035641: sched_process_exit: comm=cut pid=9359 prio=120
           <...>-9359  [000] d... 577961.035657: sched_wakeup: comm=sh pid=9354 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577961.037434: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=002
         rcuos/4-12    [000] d... 577961.040438: sched_wakeup: comm=rcuos/5 pid=13 prio=120 success=1 target_cpu=004
         rcuos/2-10    [000] d... 577961.046441: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=002
         rcuos/4-12    [000] d... 577961.049439: sched_wakeup: comm=rcuos/5 pid=13 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577961.055447: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=002
          <idle>-0     [000] dNs. 577961.061434: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577961.061436: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/0-8     [000] d... 577961.073456: sched_wakeup: comm=rcuos/1 pid=9 prio=120 success=1 target_cpu=004
          <idle>-0     [000] dNh. 577961.219022: sched_wakeup: comm=gmain pid=20788 prio=120 success=1 target_cpu=000
         rcuos/2-10    [000] d... 577961.292660: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNs. 577961.298577: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577961.298580: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577961.798878: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577961.798882: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
           <...>-9366  [000] dN.. 577962.028385: sched_wakeup: comm=migration/0 pid=25 prio=0 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577962.029019: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577962.029024: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNs. 577962.029028: sched_wakeup: comm=ksoftirqd/0 pid=3 prio=120 success=1 target_cpu=000
       rcu_sched-7     [000] d... 577962.030032: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=004
           <...>-9362  [000] .... 577962.030865: sched_process_exit: comm=sh pid=9362 prio=120
           <...>-9371  [000] dN.. 577962.031308: sched_wakeup: comm=migration/0 pid=25 prio=0 success=1 target_cpu=000
          <idle>-0     [000] dN.. 577962.032572: sched_wakeup: comm=sh pid=9368 prio=120 success=1 target_cpu=000
           <...>-9368  [000] .... 577962.032637: sched_process_exit: comm=sh pid=9368 prio=120
          <idle>-0     [000] dNs. 577962.033020: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577962.033023: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/0-8     [000] d... 577962.036043: sched_wakeup: comm=rcuos/1 pid=9 prio=120 success=1 target_cpu=001
         rcuos/0-8     [000] d... 577962.045048: sched_wakeup: comm=rcuos/1 pid=9 prio=120 success=1 target_cpu=002
         rcuos/0-8     [000] d... 577962.051043: sched_wakeup: comm=rcuos/1 pid=9 prio=120 success=1 target_cpu=002
         rcuos/2-10    [000] d... 577962.057051: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577962.063037: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577962.063039: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577962.218452: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=003
         rcuos/2-10    [000] d... 577962.295147: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNs. 577962.300180: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577962.300182: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNh. 577962.526768: sched_wakeup: comm=goa-daemon pid=1835 prio=120 success=1 target_cpu=000
      goa-daemon-1835  [000] .... 577962.526797: sys_futex(uaddr: 17c1850, op: 1, val: 1, utime: 0, uaddr2: 31f13da9d318cb, val3: 17c1d10)
